Attribute,Target,Rulex,SHAP,LIME,Ablation,Cum_Ablation,Curr_Pred,Org_Pred
NA_BLOOD,OTEK_LANC,0.0171009633,0.2105587977,0.0306321165,0.0192773519,0.0422509168,0.3901137464,0.388204756
D_AD_ORIT,PREDS_TAH,0.0112160957,0.2077894651,0.0180566794,0.0166453094,0.0230894085,0.2197898662,0.2218830499
AGE,OTEK_LANC,0.0144131255,0.2023701723,0.027648405,0.0218261948,0.0420648274,0.3833824952,0.388204756
NA_BLOOD,DRESSLER,0.0003305966,0.1972827878,0.038278753,0.0333176932,0.0510848584,0.2280388069,0.2821878159
S_AD_ORIT,DRESSLER,0.0050463223,0.1947020828,0.0214489522,0.0279682375,0.0481469737,0.2434488921,0.2821878159
AST_BLOOD,DRESSLER,0.0004198957,0.1936427838,0.0488082414,0.029077869,0.0490224115,0.2337312202,0.2821878159
NA_R_2_n,OTEK_LANC,0.0162398968,0.1895692594,0.0733611864,0.0120732027,0.0312245679,0.3914956624,0.388204756
NA_R_1_n,OTEK_LANC,0.0220844974,0.1894691383,0.0272334269,0.0160365942,0.0340057032,0.398210325,0.388204756
NOT_NA_KB_1.0,DRESSLER,0.0,0.1856657727,0.0065503354,0.0237531977,0.0294580725,0.2105420577,0.3038781144
S_AD_ORIT,OTEK_LANC,0.0044063457,0.1803976075,0.0198191444,0.0188176877,0.0393271398,0.3995019476,0.388395694
AST_BLOOD,OTEK_LANC,0.0143422899,0.1764651653,0.0169715215,0.0153819194,0.0335335342,0.3692822883,0.388204756
ALT_BLOOD,DRESSLER,0.0077206234,0.1746985359,0.0376520682,0.0280941051,0.0497326089,0.253069594,0.2821878159
IBS_POST_1.0,DRESSLER,0.0,0.1690879345,0.0059817769,0.0187719626,0.02899864,0.2767569338,0.2949189988
K_BLOOD,DRESSLER,0.001073738,0.1603618203,0.0290120955,0.0199910881,0.0365489401,0.2641871476,0.2837255172
ALT_BLOOD,OTEK_LANC,0.0091249095,0.1569646237,0.0092520373,0.0134571657,0.0280608309,0.3881870333,0.388204756
inf_im_1.0,DRESSLER,0.0,0.1564406862,0.0067139832,0.0190532623,0.0127089784,0.367807195,0.3638264586
NA_BLOOD,PREDS_TAH,0.0123303225,0.1520066352,0.0128228703,0.0191108521,0.0275301795,0.2102132952,0.2218830499
D_AD_ORIT,OTEK_LANC,0.0037289523,0.1438520375,0.0086302093,0.0084043299,0.0168838383,0.3853681651,0.388204756
LID_KB_1.0,DRESSLER,0.0,0.1391862174,0.0059469499,0.0117966132,0.0124190469,0.3616387254,0.3691030572
lat_im_2.0,DRESSLER,0.0,0.1259165942,0.0047930468,0.0057801392,0.0103883006,0.2991728217,0.3093012413
NOT_NA_1_n_1.0,DRESSLER,0.0,0.1242756967,0.0031090243,0.0046805901,0.0098065113,0.257223005,0.243403138
NA_R_3_n,PREDS_TAH,0.0108680868,0.1052787304,0.0676915559,0.0118677879,0.0218658135,0.2175168787,0.2218830499
ant_im_4.0,DRESSLER,0.0,0.1029950188,0.0064108237,0.0115828973,0.0210452384,0.2127817926,0.219127639
STENOK_AN_6.0,DRESSLER,0.0,0.1013141742,0.0059772306,0.0127344969,0.0154529918,0.2957326931,0.2928546442
D_AD_ORIT,DRESSLER,0.0016702589,0.1002630712,0.0225200355,0.0146218555,0.0218400153,0.2696649546,0.2821878159
inf_im_4.0,DRESSLER,0.0,0.0999863,0.002198348,0.0036859218,0.0070453687,0.3492435666,0.3473488097
INF_ANAM_1.0,DRESSLER,0.0,0.0965449384,0.0088777074,0.0096498796,0.0188053065,0.2720849307,0.2729112959
NA_R_1_n,PREDS_TAH,0.001452496,0.0960838727,0.0124115181,0.0104310884,0.0147457187,0.2308798039,0.2218830499
K_BLOOD,OTEK_LANC,0.0044290183,0.0949222083,0.0067276644,0.0083042706,0.0166189331,0.388021493,0.388204756
ant_im_1.0,DRESSLER,0.0,0.063133053,0.0064900581,0.0142567282,0.0172637948,0.318044694,0.325854046
R_AB_2_n_1.0,DRESSLER,0.0,0.0606816333,0.0114499367,0.0068608732,0.0079514583,0.2294505033,0.243403138
inf_im_2.0,DRESSLER,0.0,0.0598719477,0.0109954309,0.0032969216,0.0136040847,0.3741948013,0.3746069347
GB_2.0,DRESSLER,0.0,0.0525269636,0.0044650475,0.0066866226,0.0133670584,0.2327729768,0.2630059564
FK_STENOK_nan,DRESSLER,0.0,0.0434090356,0.0171400783,0.0044589584,0.004210439,0.2740892501,0.270016583
NOT_NA_3_n,OTEK_LANC,0.0543612875,0.0405337213,0.007385291,0.0028519641,0.0110804946,0.3887050381,0.388204756
NA_R_1_n,DRESSLER,0.0,0.0379087563,0.0070143964,0.0076816376,0.010544862,0.2836272656,0.2821878159
ASP_S_n_1.0,DRESSLER,0.0,0.0356214867,0.0,0.0053801962,0.0102168191,0.2919234767,0.2949535909
ZSN_A_nan,DRESSLER,0.0,0.0336698867,0.0020059726,0.0006571288,0.0004392688,0.2521981243,0.2479410577
NA_R_3_n,OTEK_LANC,0.0219280803,0.033389138,0.0094458787,0.0025251363,0.0059170713,0.3901315754,0.388204756
ritm_ecg_p_01_1.0,DRESSLER,0.0,0.0302319444,0.0068597215,0.0056605223,0.0105455574,0.3161257915,0.3230443488
INF_ANAM_2.0,DRESSLER,0.0,0.0300071773,0.0115619413,0.0000000301,0.000145177,0.3480233766,0.3473488097
NA_R_2_n,PREDS_TAH,0.0073302208,0.0254656468,0.0062614756,0.0052011849,0.0097208927,0.2253958884,0.2218830499
NOT_NA_2_n,OTEK_LANC,0.0120946725,0.0229366814,0.0046850858,0.0012944955,0.0037026651,0.3873468343,0.388204756
TIME_B_S_8.0,DRESSLER,0.0,0.0139453907,0.010566559,0.0000000025,0.0,0.247941061,0.2479410577
zab_leg_02_1.0,DRESSLER,0.0,0.0129295038,0.0118567602,0.0002254586,0.0008460106,0.2619556813,0.2603402322
NOT_NA_2_n,PREDS_TAH,0.0003428082,0.0063355147,0.0057577485,0.0002334975,0.0004245858,0.2224799938,0.2218830499
NOT_NA_3_n,DRESSLER,0.0040153613,0.0041454888,0.014384113,0.0002142933,0.0005550827,0.2818866764,0.2821878159
NOT_NA_3_n,PREDS_TAH,0.003006977,0.0,0.0034511129,0.0000000229,0.0,0.2218830455,0.2218830499
inf_im_3.0,DRESSLER,0.0,0.0,0.0165412388,0.0000000407,0.0,0.3030248535,0.3030248795
NA_R_3_n,DRESSLER,0.0062625703,0.0,0.0095187512,0.0000000331,0.0,0.2821878232,0.2821878159
NOT_NA_2_n,DRESSLER,0.0,0.0,0.0083228947,0.0000000331,0.0,0.2821878232,0.2821878159
post_im_2.0,DRESSLER,0.0,0.0,0.0196840905,0.0000000211,0.0,0.2434031533,0.243403138
IBS_POST_nan,DRESSLER,0.0,0.0,0.0217378103,0.0000000025,0.0,0.247941061,0.2479410577
n_r_ecg_p_01_nan,DRESSLER,0.0,0.0,0.0114278127,0.000000018,0.0,0.2632841989,0.263284191
SIM_GIPERT_1.0,DRESSLER,0.0,0.0,0.0049163411,0.0000000106,0.0,0.219140446,0.21914044
n_r_ecg_p_03_1.0,DRESSLER,0.0,0.0,0.0104628891,0.0000000363,0.0,0.2341512902,0.2341513197
TIME_B_S_7.0,DRESSLER,0.0,0.0,0.0113004589,0.0000000602,0.0,0.3626465537,0.362646621
NOT_NA_1_n_2.0,DRESSLER,0.0,0.0,0.0118005292,0.0000000211,0.0,0.2343135433,0.2343135617
n_r_ecg_p_02_1.0,DRESSLER,0.0,0.0,0.0405411037,0.0000000099,0.0,0.18750176,0.1875017567
GB_3.0,DRESSLER,0.0,0.0,0.0218580614,0.0000000497,0.0,0.374606958,0.3746069347
TIME_B_S_5.0,DRESSLER,0.0,0.0,0.0173429616,0.0000000447,0.0,0.3152814332,0.3152813982
n_p_ecg_p_07_1.0,DRESSLER,0.0,0.0,0.0062327718,0.0000000397,0.0,0.2559559083,0.2559558617
